code,name,descr,lang_code,is_active,cr_by,cr_dtimes
CCDR,بطاقة الإقامة,بطاقة الإقامة,ara,true,rnpsuperdmin,now()
CCDR,Carte de résidence,Carte de résidence dune personne,eng,true,rnpsuperdmin,now()
CCDR,Carte de résidence,Carte de résidence dune personne,fra,true,superadmin,now()
CCINE,البطاقة الوطنية للتعريف,البطاقة الوطنية للتعريف,ara,true,rnpsuperdmin,now()
CCINE,CNIE,CNIE,eng,true,rnpsuperdmin,now()
CCINE,CNIE,CNIE,fra,true,superadmin,now()
CCOB,شهادة الميلاد,إثبات الولادة وعمر الشخص,ara,true,rnpsuperdmin,now()
CCOB,Copie intégrale de l’acte de naissance,Preuve de naissance et âge dune personne,eng,true,rnpsuperdmin,now()
CCOB,Copie intégrale de l’acte de naissance,Preuve de naissance et âge dune personne,fra,true,superadmin,now()
CCOR,شهادة الاقامة,اثبات محل الاقامة,ara,true,rnpsuperdmin,now()
CCOR,Certificat de résidence,Preuve de résidence,eng,true,rnpsuperdmin,now()
CCOR,Certificat de résidence,Preuve de résidence,fra,true,superadmin,now()
CCRN,شهادة صلة القرابة,شهادة صلة القرابة,ara,true,rnpsuperdmin,now()
CCRN,Certificat de parenté,Certificat de parenté,eng,true,rnpsuperdmin,now()
CCRN,Certificat de parenté,Certificat de parenté,fra,true,rnpsuperdmin,now()
CCWE,فاتورة كهرباء / الماء,فاتورة كهرباء / الماء,ara,true,rnpsuperdmin,now()
CCWE,Facture-eau/électricité ,Facture-eau/électricité ,eng,true,rnpsuperdmin,now()
CCWE,Facture-eau/électricité ,Facture-eau/électricité ,fra,true,superadmin,now()
