code,name,hierarchy_level,hierarchy_level_name,parent_loc_code,lang_code,is_active,cr_by,cr_dtimes
MOR,الْـمَغْرِبُ,0,بلد,,ara,true,superadmin,now()
MOR,Maroc,0,Country,,eng,true,superadmin,now()
MOR,Maroc,0,Pays,,fra,true,superadmin,now()
RSK,الرباط سلا القنيطرة,1,منطقة,MOR,ara,true,superadmin,now()
RSK,Rabat-Salé-Kénitra,1,Region,MOR,eng,true,superadmin,now()
RSK,Rabat-Salé-Kénitra,1,Région,MOR,fra,true,superadmin,now()
KTA,القنيطرة,2,المحافظة,RSK--,ara,true,superadmin,now()
RBT,الرباط,2,المحافظة,RSK,ara,true,superadmin,now()
RBT,Rabat,2,Province,RSK,eng,true,superadmin,now()
KTA,Kénitra,2,Province,RSK--,eng,true,superadmin,now()
KTA,Kénitra,2,Province,RSK--,fra,true,superadmin,now()
RBT,Rabat,2,Province,RSK,fra,true,superadmin,now()
RAB6,السويسي,3,مدينة,RBT,ara,true,superadmin,now()
KNT2,(دائرة)دائرة سوق أربعاء الغرب,3,مدينة,KTA,ara,true,superadmin,now()
KNT3,(دائرة)دائرة سوق ثلاثاء الغرب,3,مدينة,KTA,ara,true,superadmin,now()
KNT4,(باشاوية)القنيطرة,3,مدينة,KTA,ara,true,superadmin,now()
KNT5,(باشاوية)مهدية,3,مدينة,KTA,ara,true,superadmin,now()
RAB4,اليوسفية,3,مدينة,RBT,ara,true,superadmin,now()
KNT7,(دائرة)دائرة بنمنصور,3,مدينة,KTA11,ara,true,superadmin,now()
KNT8,(دائرة)دائرة للا ميمونة,3,مدينة,KTA11,ara,true,superadmin,now()
KNT9,(باشاوية)سيدي الطيبي,3,مدينة,KTA11,ara,true,superadmin,now()
KNT6,"(باشاوية)سوق أربعاء الغرب
",3,مدينة,KTA,ara,true,superadmin,now()
RAB3,يعقوب المنصور,3,مدينة,RBT,ara,true,superadmin,now()
KNT,(دائرة)دائرة أحواز القنيطرة,3,مدينة,KTA,ara,true,superadmin,now()
RAB2,الرباط حسان,3,مدينة,RBT,ara,true,superadmin,now()
RAB5,تواركة,3,مدينة,RBT,ara,true,superadmin,now()
RAB,اكدال الرياض,3,مدينة,RBT,ara,true,superadmin,now()
RAB3,YACOUB EL MANSSOUR,3,City,RBT,eng,true,superadmin,now()
RAB5,TOUARGA,3,City,RBT,eng,true,superadmin,now()
RAB,AGDAL RYAD,3,City,RBT,eng,true,superadmin,now()
RAB4,EL YOUSSOUFIA,3,City,RBT,eng,true,superadmin,now()
