code,descr,lang_code,is_active,cr_by,cr_dtimes
Acknowledgement-email-subject,قالب للتسليم البريد الكتروني الموضوع,ara,true,superadmin,now()
Acknowledgement-email-subject,Template for email subject of Acknowledgement,eng,true,superadmin,now()
Acknowledgement-email-subject,Modèle pour le sujet d'email d'accusé de réception,fra,true,superadmin,now()
auth-email-content,قالب لمحتوى التخويل,ara,true,superadmin,now()
auth-email-content,Template for authorization content,eng,true,superadmin,now()
auth-email-content,Modèle de contenu dautorisation,fra,true,superadmin,now()
auth-email-subject,قالب لموضوع التخويل,ara,true,superadmin,now()
auth-email-subject,Template for authorization subject,eng,true,superadmin,now()
auth-email-subject,Modèle pour sujet dautorisation,fra,true,superadmin,now()
auth-otp-email-content-template,مصادقة OTP قالب محتوى,ara,true,superadmin,now()
auth-otp-email-content-template,Auth OTP Email Content Template,eng,true,superadmin,now()
auth-otp-email-content-template,Auth OTP Email ContentTemplate,fra,true,superadmin,now()
auth-otp-email-subject-template,مصادقة OTP قالب موضوع,ara,true,superadmin,now()
auth-otp-email-subject-template,Auth OTP Email Subject Template,eng,true,superadmin,now()
auth-otp-email-subject-template,Modèle dobjet de-mail Auth OTP,fra,true,superadmin,now()
auth-otp-sms-template,مصادقة قالب رسالة OTP,ara,true,superadmin,now()
auth-otp-sms-template,Auth OTP SMS Template,eng,true,superadmin,now()
auth-otp-sms-template,Modèle SMS OTP Auth,fra,true,superadmin,now()
auth-sms,قالب لرسالة التفويض,ara,true,superadmin,now()
auth-sms,Template for authorization SMS,eng,true,superadmin,now()
auth-sms,Modèle de SMS dautorisation,fra,true,superadmin,now()
cancel-appointment,قالب لإلغاء الموعد,ara,true,superadmin,now()
cancel-appointment,Template for Cancel Appointment,eng,true,superadmin,now()
cancel-appointment,Modèle pour annuler un rendez-vous,fra,true,superadmin,now()
consent,موافقة,ara,true,superadmin,now()
consent,Consent,eng,true,superadmin,now()
consent,Consentement,fra,true,superadmin,now()
Email-Acknowledgement,قالب لتأكيد البريد الإلكتروني,ara,true,superadmin,now()
Email-Acknowledgement,Template for Email Acknowledgement,eng,true,superadmin,now()
Email-Acknowledgement,Template for email confirmation,fra,true,superadmin,now()
ida-auth-otp-email-content-template,قالب لمحتوى البريد الإلكتروني,ara,true,superadmin,now()
ida-auth-otp-email-content-template,Template for Email Content,eng,true,superadmin,now()
ida-auth-otp-email-content-template,Modèle de contenu de courrier électronique,fra,true,superadmin,now()
ida-auth-otp-email-subject-template,قالب لموضوع البريد الإلكتروني,ara,true,superadmin,now()
ida-auth-otp-email-subject-template,Template for Email Subject,eng,true,superadmin,now()
ida-auth-otp-email-subject-template,Modèle pour sujet demail,fra,true,superadmin,now()
ida-auth-otp-sms-template,قالب كلمة المرور لمرة واحدة في الرسالة,ara,true,superadmin,now()
ida-auth-otp-sms-template,Template for OTP in SMS ,eng,true,superadmin,now()
ida-auth-otp-sms-template,Modèle pour OTP dans SMS,fra,true,superadmin,now()
lostUIN-email-notification,فقدت قالب الاعتراف UIN,ara,true,superadmin,now()
lostUIN-email-notification,Lost UIN Acknowledgement Template,eng,true,superadmin,now()
lostUIN-email-notification,Modèle de reconnaissance UIN perdu,fra,true,superadmin,now()
lostUIN-sms-notification,فقدت قالب الاعتراف UIN,ara,true,superadmin,now()
lostUIN-sms-notification,Lost UIN Acknowledgement Template,eng,true,superadmin,now()
lostUIN-sms-notification,Modèle de reconnaissance UIN perdu,fra,true,superadmin,now()
NewReg-email-content-template,قالب للتسجيل الجديد محتوى البريد الإلكتروني,ara,true,superadmin,now()
NewReg-email-content-template,Template for new registration Email Content,eng,true,superadmin,now()
NewReg-email-content-template,Modèle pour nouvelle inscription Email Content,fra,true,superadmin,now()
NewReg-email-subject-template,قالب للتسجيل الجديد البريد الإلكتروني الموضوع,ara,true,superadmin,now()
NewReg-email-subject-template,Template for new registration Email Subject,eng,true,superadmin,now()
